Unnamed: 0,id,dataReferencia,codigo,nome,repacVenc,indice,correcao,taxaCompra,taxaVenda,taxaIndicativa,desvioPadrao,intervaloMin,intervaloMax,pu,percPu,duration,percReune,referenciaNTNB,spread_bid_ask,spread,spread_2
726569,1603977,2023-07-20,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.5359,2.1664,2.3503,"0,06","2,29","2,41","1046,974306","98,45","1148,1",0,1900-01-01,0.36949999999999994,-1.9808,-1.6305
727344,1605527,2023-07-21,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.5251,2.1067,2.3405,"0,09","2,25","2,43","1048,017179","98,49","1150,31",0,1900-01-01,0.4184000000000001,-1.9221,-1.5816
728118,1607075,2023-07-24,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.5226,2.0975,2.2875,"0,1","2,19","2,39","1051,117461","98,72","1151,03",35,1900-01-01,0.42510000000000003,-1.8624,-1.5749
728892,1608623,2023-07-25,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.5018,2.0717,2.2926,"0,11","2,18","2,41","1051,49206","98,7","1151,15",45,1900-01-01,0.4300999999999999,-1.8625000000000003,-1.5699
729670,1610194,2023-07-26,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.4168,2.0624,2.2826,"0,1","2,18","2,38","1052,586177","98,74","1150,68",15,1900-01-01,0.35440000000000005,-1.9282,-1.6456
730461,1611774,2023-07-27,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.4015,2.0597,2.2679,"0,1","2,17","2,37","1053,933357","98,81","1147,44",5,1900-01-01,0.3418000000000001,-1.9261,-1.6582
731250,1613352,2023-07-28,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.4796,2.0697,2.2618,"0,09","2,17","2,35","1054,850934","98,84","1146,34",0,1900-01-01,0.40989999999999993,-1.8519,-1.5901
732039,1614930,2023-07-31,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.4115,2.0739,2.2652,"0,12","2,15","2,38","1055,299982","98,82","1147,2",0,1900-01-01,0.3376000000000001,-1.9276,-1.6623999999999999
732828,1616508,2023-08-01,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.3742,2.0304,2.2597,"0,12","2,14","2,38","1056,192401","98,85","1145,89",35,1900-01-01,0.3437999999999999,-1.9159000000000002,-1.6562000000000001
733617,1618086,2023-08-02,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.4559,2.0138,2.2372,"0,16","2,08","2,4","1057,864814","98,95","1146,81",10,1900-01-01,0.4421000000000004,-1.7950999999999997,-1.5578999999999996
734406,1619664,2023-08-03,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.4498,2.0154,2.2118,"0,16","2,05","2,37","1059,703752","99,06","1144,88",5,1900-01-01,0.4344000000000001,-1.7774,-1.5655999999999999
735195,1621242,2023-08-04,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.3362,2.0,2.1336,"0,17","1,96","2,31","1064,003267","99,41","1146,02",35,1900-01-01,0.33619999999999983,-1.7974,-1.6638000000000002
735984,1622820,2023-08-07,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.4189,1.9465,2.1423,"0,17","1,97","2,32","1064,209477","99,37","1143,65",10,1900-01-01,0.47239999999999993,-1.6699000000000002,-1.5276
736773,1624398,2023-08-08,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.318,1.9636,2.1307,"0,18","1,95","2,32","1065,349915","99,42","1146,45",40,1900-01-01,0.35440000000000005,-1.7763,-1.6456
737562,1625976,2023-08-09,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.327,1.9556,2.1067,"0,14","1,96","2,25","1067,108686","99,53","1144,14",10,1900-01-01,0.37139999999999995,-1.7353,-1.6286
738351,1627554,2023-08-10,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.3401,1.9177,2.0991,"0,12","1,98","2,22","1068,080752","99,56","1143,31",40,1900-01-01,0.4224000000000001,-1.6766999999999999,-1.5776
739140,1631998,2023-08-11,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.269,1.9062,2.0866,"0,14","1,95","2,23","1069,284621","99,62","1142,89",10,1900-01-01,0.36280000000000023,-1.7237999999999996,-1.6371999999999998
739929,1633576,2023-08-14,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.2596,1.904,2.0546,"0,11","1,95","2,16","1071,428245","99,76","1137,93",5,1900-01-01,0.3555999999999999,-1.6990000000000003,-1.6444
740718,1635153,2023-08-15,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.2858,1.8951,2.0482,"0,11","1,93","2,16","997,714211","99,77","1220,29",0,1900-01-01,0.39070000000000005,-1.6575,-1.6093
741506,1636729,2023-08-16,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.189,1.867,1.9961,"0,09","1,9","2,09","1000,754113","100,02","1219,35",0,1900-01-01,0.32200000000000006,-1.6741,-1.678
